"","game_id","season","week","team","opponent","touchdowns","point_diff2","winner"
"1","2010_01_ARI_STL",2010,1,"LA","ARI",1,-4,"ARI"
"2","2010_01_ATL_PIT",2010,1,"PIT","ATL",1,6,"PIT"
"3","2010_01_BAL_NYJ",2010,1,"NYJ","BAL",0,-1,"BAL"
"4","2010_01_CAR_NYG",2010,1,"NYG","CAR",4,13,"NYG"
"5","2010_01_CIN_NE",2010,1,"NE","CIN",5,14,"NE"
"6","2010_01_CLE_TB",2010,1,"TB","CLE",2,3,"TB"
"7","2010_01_DAL_WAS",2010,1,"WAS","DAL",1,6,"WAS"
"8","2010_01_DEN_JAX",2010,1,"JAX","DEN",3,7,"JAX"
"9","2010_01_DET_CHI",2010,1,"CHI","DET",2,5,"CHI"
"10","2010_01_GB_PHI",2010,1,"PHI","GB",2,-7,"GB"
"11","2010_01_IND_HOU",2010,1,"HOU","IND",4,10,"HOU"
"12","2010_01_MIA_BUF",2010,1,"BUF","MIA",1,-5,"MIA"
"13","2010_01_MIN_NO",2010,1,"NO","MIN",2,5,"NO"
"14","2010_01_OAK_TEN",2010,1,"TEN","LV",5,25,"TEN"
"15","2010_01_SD_KC",2010,1,"KC","LAC",3,7,"KC"
"16","2010_01_SF_SEA",2010,1,"SEA","SF",4,25,"SEA"
"17","2010_02_ARI_ATL",2010,2,"ATL","ARI",5,34,"ATL"
"18","2010_02_BAL_CIN",2010,2,"CIN","BAL",0,5,"CIN"
"19","2010_02_BUF_GB",2010,2,"GB","BUF",4,27,"GB"
"20","2010_02_CHI_DAL",2010,2,"DAL","CHI",2,-7,"CHI"
"21","2010_02_HOU_WAS",2010,2,"WAS","HOU",3,-3,"HOU"
"22","2010_02_JAX_SD",2010,2,"LAC","JAX",5,25,"LAC"
"23","2010_02_KC_CLE",2010,2,"CLE","KC",2,-2,"KC"
"24","2010_02_MIA_MIN",2010,2,"MIN","MIA",1,-4,"MIA"
"25","2010_02_NE_NYJ",2010,2,"NYJ","NE",3,14,"NYJ"
"26","2010_02_NO_SF",2010,2,"SF","NO",3,-3,"NO"
"27","2010_02_NYG_IND",2010,2,"IND","NYG",5,24,"IND"
"28","2010_02_PHI_DET",2010,2,"DET","PHI",4,-3,"PHI"
"29","2010_02_PIT_TEN",2010,2,"TEN","PIT",1,-8,"PIT"
"30","2010_02_SEA_DEN",2010,2,"DEN","SEA",4,17,"DEN"
"31","2010_02_STL_OAK",2010,2,"LV","LA",1,2,"LV"
"32","2010_02_TB_CAR",2010,2,"CAR","TB",1,-13,"TB"
"33","2010_03_ATL_NO",2010,3,"NO","ATL",3,-3,"ATL"
"34","2010_03_BUF_NE",2010,3,"NE","BUF",5,8,"NE"
"35","2010_03_CIN_CAR",2010,3,"CAR","CIN",1,-13,"CIN"
"36","2010_03_CLE_BAL",2010,3,"BAL","CLE",3,7,"BAL"
"37","2010_03_DAL_HOU",2010,3,"HOU","DAL",1,-14,"DAL"
"38","2010_03_DET_MIN",2010,3,"MIN","DET",3,14,"MIN"
"39","2010_03_GB_CHI",2010,3,"CHI","GB",2,3,"CHI"
"40","2010_03_IND_DEN",2010,3,"DEN","IND",1,-14,"IND"
"41","2010_03_NYJ_MIA",2010,3,"MIA","NYJ",2,-8,"NYJ"
"42","2010_03_OAK_ARI",2010,3,"ARI","LV",3,1,"ARI"
"43","2010_03_PHI_JAX",2010,3,"JAX","PHI",0,-25,"PHI"
"44","2010_03_PIT_TB",2010,3,"TB","PIT",1,-25,"PIT"
"45","2010_03_SD_SEA",2010,3,"SEA","LAC",3,7,"SEA"
