"","game_id","team","point_diff","week","season"
"1","2010_01_ARI_STL","LA",-4,1,2010
"2","2010_01_ATL_PIT","PIT",6,1,2010
"3","2010_01_BAL_NYJ","NYJ",-1,1,2010
"4","2010_01_CAR_NYG","NYG",13,1,2010
"5","2010_01_CIN_NE","NE",14,1,2010
"6","2010_01_CLE_TB","TB",3,1,2010
"7","2010_01_DAL_WAS","WAS",6,1,2010
"8","2010_01_DEN_JAX","JAX",7,1,2010
"9","2010_01_DET_CHI","CHI",5,1,2010
"10","2010_01_GB_PHI","PHI",-7,1,2010
"11","2010_01_IND_HOU","HOU",10,1,2010
"12","2010_01_MIA_BUF","BUF",-5,1,2010
"13","2010_01_MIN_NO","NO",5,1,2010
"14","2010_01_OAK_TEN","TEN",25,1,2010
"15","2010_01_SD_KC","KC",7,1,2010
"16","2010_01_SF_SEA","SEA",25,1,2010
"17","2010_02_ARI_ATL","ATL",34,2,2010
"18","2010_02_BAL_CIN","CIN",5,2,2010
"19","2010_02_BUF_GB","GB",27,2,2010
"20","2010_02_CHI_DAL","DAL",-7,2,2010
"21","2010_02_HOU_WAS","WAS",-3,2,2010
"22","2010_02_JAX_SD","LAC",25,2,2010
"23","2010_02_KC_CLE","CLE",-2,2,2010
"24","2010_02_MIA_MIN","MIN",-4,2,2010
"25","2010_02_NE_NYJ","NYJ",14,2,2010
"26","2010_02_NO_SF","SF",-3,2,2010
"27","2010_02_NYG_IND","IND",24,2,2010
"28","2010_02_PHI_DET","DET",-3,2,2010
"29","2010_02_PIT_TEN","TEN",-8,2,2010
"30","2010_02_SEA_DEN","DEN",17,2,2010
"31","2010_02_STL_OAK","LV",2,2,2010
"32","2010_02_TB_CAR","CAR",-13,2,2010
"33","2010_03_ATL_NO","NO",-3,3,2010
"34","2010_03_BUF_NE","NE",8,3,2010
"35","2010_03_CIN_CAR","CAR",-13,3,2010
"36","2010_03_CLE_BAL","BAL",7,3,2010
"37","2010_03_DAL_HOU","HOU",-14,3,2010
"38","2010_03_DET_MIN","MIN",14,3,2010
"39","2010_03_GB_CHI","CHI",3,3,2010
"40","2010_03_IND_DEN","DEN",-14,3,2010
"41","2010_03_NYJ_MIA","MIA",-8,3,2010
"42","2010_03_OAK_ARI","ARI",1,3,2010
"43","2010_03_PHI_JAX","JAX",-25,3,2010
"44","2010_03_PIT_TB","TB",-25,3,2010
"45","2010_03_SD_SEA","SEA",7,3,2010
"46","2010_03_SF_KC","KC",21,3,2010
"47","2010_03_TEN_NYG","NYG",-19,3,2010
"48","2010_03_WAS_STL","LA",14,3,2010
"49","2010_04_ARI_SD","LAC",31,4,2010
"50","2010_04_BAL_PIT","PIT",-3,4,2010
"51","2010_04_CAR_NO","NO",2,4,2010
"52","2010_04_CHI_NYG","NYG",14,4,2010
"53","2010_04_CIN_CLE","CLE",3,4,2010
"54","2010_04_DEN_TEN","TEN",-6,4,2010
"55","2010_04_DET_GB","GB",2,4,2010
"56","2010_04_HOU_OAK","LV",-7,4,2010
"57","2010_04_IND_JAX","JAX",3,4,2010
"58","2010_04_NE_MIA","MIA",-27,4,2010
"59","2010_04_NYJ_BUF","BUF",-24,4,2010
"60","2010_04_SEA_STL","LA",17,4,2010
"61","2010_04_SF_ATL","ATL",2,4,2010
"62","2010_04_WAS_PHI","PHI",-5,4,2010
"63","2010_05_ATL_CLE","CLE",-10,5,2010
"64","2010_05_CHI_CAR","CAR",-17,5,2010
"65","2010_05_DEN_BAL","BAL",14,5,2010
"66","2010_05_GB_WAS","WAS",3,5,2010
"67","2010_05_JAX_BUF","BUF",-10,5,2010
"68","2010_05_KC_IND","IND",10,5,2010
"69","2010_05_MIN_NYJ","NYJ",9,5,2010
"70","2010_05_NO_ARI","ARI",10,5,2010
"71","2010_05_NYG_HOU","HOU",-24,5,2010
"72","2010_05_PHI_SF","SF",-3,5,2010
"73","2010_05_SD_OAK","LV",8,5,2010
"74","2010_05_STL_DET","DET",38,5,2010
"75","2010_05_TB_CIN","CIN",-3,5,2010
"76","2010_05_TEN_DAL","DAL",-7,5,2010
"77","2010_06_ATL_PHI","PHI",14,6,2010
"78","2010_06_BAL_NE","NE",3,6,2010
"79","2010_06_CLE_PIT","PIT",18,6,2010
"80","2010_06_DAL_MIN","MIN",3,6,2010
"81","2010_06_DET_NYG","NYG",8,6,2010
"82","2010_06_IND_WAS","WAS",-3,6,2010
"83","2010_06_KC_HOU","HOU",4,6,2010
"84","2010_06_MIA_GB","GB",-3,6,2010
"85","2010_06_NO_TB","TB",-25,6,2010
"86","2010_06_NYJ_DEN","DEN",-4,6,2010
"87","2010_06_OAK_SF","SF",8,6,2010
"88","2010_06_SD_STL","LA",3,6,2010
"89","2010_06_SEA_CHI","CHI",-3,6,2010
"90","2010_06_TEN_JAX","JAX",-27,6,2010
"91","2010_07_ARI_SEA","SEA",12,7,2010
"92","2010_07_BUF_BAL","BAL",3,7,2010
"93","2010_07_CIN_ATL","ATL",7,7,2010
"94","2010_07_CLE_NO","NO",-13,7,2010
"95","2010_07_JAX_KC","KC",22,7,2010
"96","2010_07_MIN_GB","GB",4,7,2010
"97","2010_07_NE_SD","LAC",-3,7,2010
"98","2010_07_NYG_DAL","DAL",-6,7,2010
"99","2010_07_OAK_DEN","DEN",-45,7,2010
"100","2010_07_PHI_TEN","TEN",18,7,2010
"101","2010_07_PIT_MIA","MIA",-1,7,2010
"102","2010_07_SF_CAR","CAR",3,7,2010
"103","2010_07_STL_TB","TB",1,7,2010
"104","2010_07_WAS_CHI","CHI",-3,7,2010
"105","2010_08_BUF_KC","KC",3,8,2010
"106","2010_08_CAR_STL","LA",10,8,2010
"107","2010_08_DEN_SF","SF",8,8,2010
"108","2010_08_GB_NYJ","NYJ",-9,8,2010
"109","2010_08_HOU_IND","IND",13,8,2010
"110","2010_08_JAX_DAL","DAL",-18,8,2010
"111","2010_08_MIA_CIN","CIN",-8,8,2010
"112","2010_08_MIN_NE","NE",10,8,2010
"113","2010_08_PIT_NO","NO",10,8,2010
"114","2010_08_SEA_OAK","LV",30,8,2010
"115","2010_08_TB_ARI","ARI",-3,8,2010
"116","2010_08_TEN_SD","LAC",8,8,2010
"117","2010_08_WAS_DET","DET",12,8,2010
"118","2010_09_ARI_MIN","MIN",3,9,2010
"119","2010_09_CHI_BUF","BUF",-3,9,2010
"120","2010_09_DAL_GB","GB",38,9,2010
"121","2010_09_IND_PHI","PHI",2,9,2010
"122","2010_09_KC_OAK","LV",3,9,2010
"123","2010_09_MIA_BAL","BAL",16,9,2010
"124","2010_09_NE_CLE","CLE",20,9,2010
"125","2010_09_NO_CAR","CAR",-31,9,2010
"126","2010_09_NYG_SEA","SEA",-34,9,2010
"127","2010_09_NYJ_DET","DET",-3,9,2010
"128","2010_09_PIT_CIN","CIN",-6,9,2010
"129","2010_09_SD_HOU","HOU",-6,9,2010
